Electron is a framework for building cross-platform desktop applications with web technology.
vscode:        Visual Studio Code
electrino:        Desktop runtime for apps built on web technologies, using the system's own web browser engine
udemy-downloader-gui:        A desktop application for downloading Udemy Courses
franz:        Franz is a free messaging app for services like WhatsApp, Slack, Messenger and many more.
electron-forge:        A complete tool for creating, publishing, and installing modern Electron applications
outline-server:        Outline Manager, developed by Jigsaw. The Outline Manager application creates and manages Outline servers, powered by Shadowsocks. It uses the Electron framework to offer support for Windows, macOS and Linux.
ZY-Player:        ▶️ 跨平台桌面端视频资源播放器.简洁无广告.免费高颜值. 🎞
felony:        🔑🔥📈 Next Level PGP
go-astilectron:        Build cross platform GUI apps with GO and HTML/JS/CSS (powered by Electron)
buttercup-desktop:        🔑 Javascript Secrets Vault - Multi-Platform Desktop Application
ramme:        Unofficial Instagram Desktop App.
electron-sample-apps:        Sample apps for Electron
sqlectron-gui:        A simple and lightweight SQL client desktop with cross database and platform support.
hain:        An 'alt+space' launcher for Windows, built with Electron
melonJS:        a fresh & lightweight javascript game engine
pennywise:        Cross-platform application to open any website or media in a floating window
patchwork:        A decentralized messaging and sharing app built on top of Secure Scuttlebutt (SSB).
react-proto:        🎨 React application prototyping tool for developers and designers 🏗️
Zettlr:        A Markdown Editor for the 21st century.
gitify:        GitHub notifications on your menu bar. Available on macOS, Windows & Linux.
electron-webpack-dashboard:        Electron Desktop GUI for Webpack Dashboard
Publii:        Publii is a desktop-based CMS for Windows, Mac and Linux that makes creating static websites fast and hassle-free, even for beginners.
